# ==== 正文映射 B4: 段落 895-1778 ====
# 格式：起始段落号[-结束段落号]<TAB>中文
# 数学符号用 §...§ 包裹（写成 Cambria Math run）；多行值用续行（无段落号前缀的行）。
# 段落内若含 § 则按段拆分写入首段；KEEP 表示保留原文。
# 图片/表格段落仅替换文字、保留 drawing（w:drawing 不清除）。

# 1.14 风速分布的威布尔拟合
895	1.14 风速分布的威布尔拟合（Weibull fitting of the wind speed distribution）
896	Meteodyn WT 中可使用三种威布尔拟合方法：
897	- 极大似然法（结果点的默认方法）；
898	- 能量拟合法（制图区域的默认方法）；
899	- 最小二乘法。
900-901	在一个演示场址的测风塔上，进行了对比不同威布尔分布（§A§、§k§）参数的测试，并与 WindPRO 进行了比较。
903-904	根据拟合威布尔分布所采用方法的不同，方向（§A§, §k§）值可能会有较大差异。
905-906	当在其他软件（如 WindPRO）中使用 WRG/RSF 文件时，可能会注意到平均风速的差异：
907	- WindPRO 读取（§A§, §k§）参数时使用的小数位数不同；
908-909	- 在风电机组位置处，WindPRO 中进行了近似处理——发电量根据风机周围最近的 4 个制图点计算。

# 1.15 湍流强度与湍流修正
910	1.15 湍流强度与湍流修正（Turbulence intensity and turbulence correction）
911	1.15.1 湍流强度（Turbulence intensities）
912	Meteodyn WT 计算的湍流强度包括：
913-915	- 环境湍流强度，即来自 CFD 计算的湍流结果。如果有湍流测量数据，将按照"湍流修正"中的描述对该湍流进行修正。
916-917	- 由尾流效应引起的附加湍流强度。关于附加湍流的信息，请参见第 1.13.3、1.13.4 和 1.13.5 节。
918-923	- 总湍流强度，综合了环境湍流和附加湍流。因此：
§I_total = √(I_amb² + I_add²)§
其中 §I_amb§ 和 §I_add§ 分别为环境湍流强度和附加湍流强度。
924	1.15.2 湍流修正（Turbulence corrections）
925	1.15.2.1 方向性湍流修正（Directional turbulence correction）
926	结果点处修正后的方向性湍流 §I_corp(dir)§ 按以下公式计算：
927	§I_corp(dir) = I_calcp(dir) + ΔI(dir)§
930	其中：
931	§ΔI(dir) = I_mes(dir) − I_calcm(dir)§
932	- §I_mes(dir)§ 为参考点处测量的方向性湍流强度；
- §I_calcm(dir)§ 为参考点处计算的方向性湍流强度。
933	- §I_calcp(dir)§ 为结果点处计算的方向性湍流强度。
934	1.15.2.2 湍流矩阵修正（Turbulence matrix correction）
935	结果点处修正后的湍流矩阵 §I_corp(bin,dir)§ 按以下公式计算：
936	§I_corp(bin,dir) = I_calcp(dir)·P(v) + ΔI(bin,dir)§
937	其中：
938	§ΔI(bin,dir) = I_mes(bin,dir) − I_calcm(dir)·P(v)§
939-940	每个风速分箱的湍流强度值使用 IEC 61400-1 的 §P(v)§ 函数外推：
941	§P(v) = 0.75 + (3.8/v)§
942	- §I_mes(bin,dir)§ 为参考点处测量的湍流强度矩阵；
- §I_calcm(dir)§ 为参考点处计算的方向性湍流强度。
943	- §I_calcp(dir)§ 为结果点处计算的方向性湍流强度。
944	若软件中启用了湍流矩阵修正，方向性湍流对应强风湍流，即由所有大风速（大于 10 m/s）得到的湍流。迄今为止尚未应用分位数。
945	1.15.2.3 若无修正文件，环境湍流矩阵如何计算？
946	即使不使用湍流强度修正（方向性或矩阵式），Meteodyn WT 仍会以综合过程的输出形式提供环境湍流矩阵。
947	- 对每个方向性计算，计算湍流强度并对应强风风速（由方向性计算得到）。对于大风速，环境湍流强度为常数。
948	- 借助由 IEC 61400-1 标准的不同强度曲线得到的湍流方程，将湍流强度值外推到每个较低的风速分箱。
949	对每个方向均执行上述操作，以生成环境湍流强度矩阵。方向性修正也采用相同方法。此时，之前由大风速方向性计算得到的湍流强度直接从方向性修正文件中读取。

# 1.16 极端风速计算
950	1.16 极端风速计算（Extreme wind speed computations）
951	在给出加速因子和阵风系数的定义之后，本节说明如何在给定输入的情况下计算极端风速。计算得到的参数为场址所有结果点处的 50 年一遇 10 分钟平均风速和 3 秒阵风风速。
954	在极端风速评估中，可认为大气热层结为中性，因为此时风速足够大，热效应可忽略。
