# ==== 正文映射 B1: 段落 71-210 ====
# 格式: <start>-<end><TAB><中文文本>
# 续行(end>start)的段落若为纯文本则删除；含图片则仅清文本保留图。
# 数学片段用 §...§ 包裹（用作 Cambria Math run）。

# 单位与缩写
71	单位与缩写（Units and abbreviations）
72	单位（Units）
73	在整个软件中，不同物理量最常使用的单位如下：
74	- 距离：米（m）
75	- 时间：秒（s）
76	- 质量：千克（kg）
77	- 速度：米/秒（m/s）
78	- 密度：千克/立方米（kg/m³）
79	- 功率：千瓦（kW）和兆瓦（MW）
80	- 能量：兆瓦时（MWh）和吉瓦时（GWh）
81	- 角度：十进制度（°）
82	- 数据（内存）：字节（B）
83	- 压力：帕斯卡（Pa）
84	- 温度：摄氏度（℃）
85	缩写（Abbreviations）
86	在整个软件及用户手册中，"WT"均指风力发电机组（wind turbine(s)）。

# 技术注释 总标题
89	技术注释（Technical notes）
90	1.1 风流动方程（The wind flow equations）

# 1.1.1 雷诺平均纳维–斯托克斯方程
91	1.1.1 雷诺平均纳维–斯托克斯方程（Reynolds-Averaged Navier-Stokes equations）
92-94	由于风的湍流和随机特性，流动通常采用统计参数来表征，例如平均风速分量（一般取 10 分钟平均）或湍流脉动的标准差。
95-97	按照雷诺（Reynolds）的方法，物理量表示为平均值与脉动值之和。例如，方向 §i§ 上的瞬时速度 §uᵢ§ 等于平均速度 §ūᵢ§ 与脉动部分 §u′ᵢ§ 之和：
99-100	对瞬时动量方程和质量方程取平均，可得雷诺平均纳维–斯托克斯方程（RANS 方程）：
105	从上式左至右，各项的含义依次为：
106	- 平均风速的对流输运项；
107	- 压力梯度项；
108-109	- 层流黏性应力项：在大气流动中，层流黏性应力相对于雷诺应力项可以忽略不计；
110-112	- 平均化过程中出现的量 §−ρu′ᵢu′ⱼ§ 称为湍流通量，也称雷诺应力项，记作 §τᵢⱼ§。这些项是新引入的未知量，必须通过湍流建模来封闭方程组；
113	- 其他体积力 §fᵢ§。
114-115	其中 §p§ 为压力，§ρ§ 为密度，§μ§ 为动力黏度，§xᵢ§ 和 §xⱼ§ 为 §i§、§j§ 方向的空间坐标。

# 1.1.2 湍流建模
116	1.1.2 湍流建模（Turbulence modelling）
117-118	涡黏性模型基于如下假设：雷诺应力项与风速梯度成正比，并引入涡黏性（或称湍流黏性）的概念：
123-125	随后，还需要附加的输运方程来求解该问题。普朗特（Prandtl）提出了单方程模型，在该模型中涡黏性考虑了流动历史的影响，并依赖于湍流动能 §k§。因此，涡黏性 §μₜ§ 表示为：
130	其中 §k = ½(u′ᵢu′ᵢ) = ½(u′² + v′² + w′²) = ½(σᵤ² + σᵥ² + σw²)§
131	
132	湍流动能 §k§ 由守恒方程求出：
135	其中 §σₖ§ 取固定值 1，湍流耗散率 §ε§ 为：
138-139	湍流长度尺度 §Lₜ§ 和参数 §C_D§ 取决于热稳定度，通过混合长度 §l§ 来定义（（Yamada, 1983）与（Arritt, 1987）模型）：
140-141	§Lₜ = √2·Sₘ·l§，其中 §1/l = 1/(κz) + 1/l₀§
142-144	式中 §κ§ 为卡门（Karman）常数，§z§ 为离地高度，§Sₘ§ 基于理查森通量数 §Rᵢf§ 计算（由（Yamada, 1983）修正）。§l₀§ 为常数，取 100 m，用于限定远离地面处的混合长度（Louis, 1979）。
145	- 若 §Rᵢf§ > 0.16，则 §Sₘ§ = 0.085
146-147	- 若 §Rᵢf§ < 0.16，则 §Sₘ§ = 1.96·(0.1912 − Rᵢf)(0.2341 − Rᵢf) / [(1 − Rᵢf)(0.2231 − Rᵢf)]
148-149	理查森通量数 §Rᵢf§ 根据莫宁–奥布霍夫（Monin-Obukhov）长度 §L§ 计算。软件中定义的每个稳定度等级对应不同的莫宁–奥布霍夫长度。
150-151	§Rᵢf = 1 − [(Rᵢt² + 1)^(1/2) − Rᵢt]§，其中当 §L < 0§ 时 §Rᵢt = 7/L§；当 §L > 0§ 时 §Rᵢt = (7/L)/(1 + 50/L)§
152	§Rᵢt§ 在稳定层结时为正值，在不稳定层结时为负值，在中性层结时为零。
153	
154-155	系数 §C_D§ 由下式给出：§C_D = CₒD·Sₘ/16.6§，其中 §CₒD§ 为取决于热稳定度的系数（见下表）。

# 1.1.3 强稳定度湍流建模——三层模型
156	1.1.3 强稳定度湍流建模——三层模型（Turbulence modelling for strong stability – 3-Layer Model）
157-160	强热稳定度下的精细统计分析需要先进的湍流建模。在湍流动能（TKE）输运方程中，奥布霍夫（Obukhov）长度 §L§ 用于确定由 Meteodyn 三层模型得到的耗散项。三层模型分为以下各层：
161-164	- 莫宁–奥布霍夫相似理论（MOST）层：该层内梯度理查森数低于约 0.1（Grachev, 2013）。采用（Yamada, 1983）和（Arritt, 1987）模型，并对混合长度公式进行修正，以考虑受限的浮力长度尺度。在经典 MOST 层中，莫宁–奥布霍夫长度 §L§ 为常数，仅取决于稳定度。
167-169	- 局地 MOST 层：该层内应用局地 MOST 理论。§L§ 不仅取决于稳定度，还与高度有关。因此，通量随高度递减，直至达到临界理查森数。
170-171	- 外层：该层内湍流通量取决于中尺度层面产生的大尺度湍流（Zilitinkevich, 2010）。
172-173	Meteodyn 三层模型中的湍流长度 §Lₜ§ 与 Meteodyn 单层模型的计算方式相同：
174	§Lₜ = √2·Sₘ·l§，其中 §1/l = 1/(κz) + 1/l₀§
