风速(m/s)    功率(kW)    推力系数(Ct)
3.0         0.0         0.82
3.5         42.0        0.81
4.0         115.0       0.80
4.5         235.0       0.79
5.0         410.0       0.78
5.5         645.0       0.77
6.0         950.0       0.75
6.5         1330.0      0.73
7.0         1800.0      0.71
7.5         2370.0      0.69
8.0         3050.0      0.66
8.5         3830.0      0.63
9.0         4700.0      0.60
9.5         5600.0      0.56
10.0        6250.0      0.52
10.5        6250.0      0.48
11.0        6250.0      0.44
11.5        6250.0      0.40
12.0        6250.0      0.36
12.5        6250.0      0.33
13.0        6250.0      0.30
13.5        6250.0      0.27
14.0        6250.0      0.24
14.5        6250.0      0.22
15.0        6250.0      0.20
15.5        6250.0      0.18
16.0        6250.0      0.16
16.5        6250.0      0.15
17.0        6250.0      0.13
17.5        6250.0      0.12
18.0        6250.0      0.11
18.5        6250.0      0.10
19.0        6250.0      0.09
19.5        6250.0      0.08
20.0        6250.0      0.07
