# ==== 正文映射 B2: 段落 211-551 ====

# 1.3.1 网格参数
211	1.3.1 网格参数（Mesh parameters）
212	- **nfirst**：垂直方向（自地面向上）前 §nfirst§ 个单元具有恒定的垂直尺寸，等于"最小垂直加密（minimum vertical refinement）"值；
213	在此以上，单元垂直尺寸按照"垂直膨胀系数（vertical expansion coefficient）"拉伸；默认值 = 10。
214	
216	
218	
220	- **ratiomax**：定义单元长度与高度的最大长宽比，避免生成过薄的单元导致发散；默认值 = 100。
221	

222	- **coefzdomain**：计算域高度按以下公式定义：
223	§Max（2800 m；Zmax + coefzdomain ×（Zmax − Zmin））§
224-225	其中 §Zmin§ 和 §Zmax§ 分别为域内最小和最大海拔；默认值 = 5。

# 1.3.2 求解器参数
228	1.3.2 求解器参数（Solver Parameters）
229	- **nbrelax**：多重网格循环中后延拓（post-prolongation）的松弛次数。
230	- **relin**：线性松弛系数（水动力求解器）。
231	- **falsdt**：伪时间步长松弛（水动力求解器）。
232	- **falsdtk**：伪时间步长松弛（湍流动能求解器）。
233	- **relink**：线性松弛系数（湍流动能求解器）。
234	- **rlat**：纬度值（°）（用于埃克曼（Ekman）层和近地层评估）。

# 1.3.3 阻力系数参数
235	1.3.3 阻力系数参数（Drag coefficient parameters）
236	- **forestlow**："低"森林密度对应的阻力系数值。
237	- **forestnor**："正常"森林密度对应的阻力系数值。
238	- **foresthigh**："高"森林密度对应的阻力系数值。

# 1.4 自动收敛
239	1.4 自动收敛（Auto-convergence）
240-242	当启用自动收敛选项时，发散的计算（即收敛率低于最小收敛阈值的计算）将依次采用 1 级至 4 级的新 CFD 参数重新启动，各级参数越来越有利于收敛。
243	若计算在第 4 级仍未收敛，则标记为发散。
244-245	最小收敛阈值由用户以百分比形式定义，可接受的取值为 0 到 100，默认值为 95%。
246-247	自动收敛过程中为改善收敛而调整的参数包括：
248	- falsdt：伪时间步长松弛（水动力求解器）；
249	- falsdtk：伪时间步长松弛（湍流动能求解器）；
250	- 最大迭代次数；
251	- 最小垂直分辨率；
252	- 最小水平分辨率。
253-254	此外，在森林模型中，所有自动收敛步骤的垂直度（verticality）均设为 0.5，relin 和 relink 参数均设为 0.3。请参见"中尺度/微尺度耦合"一节中有关 CFD 参数的说明。
255	中尺度/微尺度耦合（Mesoscale/Microscale coupling）
256-260	统计降尺度与中尺度/微尺度耦合的流程如下：将 WRF 输出按风向和稳定度类别（基于莫宁–奥布霍夫长度）分类，以得到 MeteodynWT RANS K–l 模型的系综平均入口及顶部边界条件，通过湍流动能和湍流长度尺度模拟三类大气稳定度（不稳定、中性和稳定）。
264	图 1 中尺度入口和边界条件
265	添加一个力项，使微尺度流动在距地面 500 m 以上的中尺度区域（meso zone）内趋于中尺度风廓线，即将中尺度模式输出的垂直廓线作为体积力同化到 CFD 模型中。在此高度以下不加松弛，因为微尺度 CFD 模型中具有较高的地形分辨率。
267	图 2 中尺度数据守恒
268	有关 CFD 参数的说明，请参见"CFD 高级设置"一节。
269	自动收敛功能已在 50 个复杂场址上测试，每个场址 8 个风向。"达到收敛的测试工况数（Test cases reaching convergence）"一行表示这 400 个风向计算中有多少个达到了 95% 的收敛率。
270	自动收敛各级所使用的参数如下表所示。
274-276	无法以高于点位高度或制图高度的最小垂直分辨率启动风向计算。但自动收敛会将计算的最小垂直分辨率最高调整为 10 m 以提升收敛性。因此，在极少数情况下，风向计算可能会以略高于点位高度或制图高度的最小垂直分辨率启动，这将导致该点（或这些点）的结果错误。如果您输入的点位海拔低于 10 m，请务必检查所达到的自动收敛级别及其对应的垂直分辨率。

# 1.5 网格生成
277	1.5 网格生成（Mesh generation）
278	1.5.1 表面网格生成（Surface grid generation）
279-281	生成在"结果点（result points）"附近加密的笛卡尔网格。对单元尺寸的膨胀及长宽比进行控制，以避免收敛不稳定。可通过在特殊位置添加结果点来提高局部网格分辨率。制图区域（mapping area）将决定整个制图表面上的最小网格分辨率。
282	1.5.2 体积网格生成（Volume grid generation）
283	采用前沿推进法（自表面网格出发）生成体积网格。顶部边界条件的海拔按以下公式计算：
284	§Ztop = Zmax + max（2800 m；Coefzdomain ×（Zmax − Zmin））§
287	其中：
288	- §Ztop§：顶部边界条件的海拔；
289	- §Zmax§：计算域内地形最大海拔；
290	- §Zmin§：计算域内地形最小海拔。
291	结果点对垂直网格划分没有影响。
292	对三维网格的正交性进行控制，以避免生成倾斜单元。相对于地面的正交性可通过"垂直度（Verticality）"参数进行控制。
294	图 3 网格正交性
295	1.5.3 边界平滑（Boundary smoothing）
296	若因计算域边界附近的陡峭山地地形导致收敛问题，建议启用网格边界平滑。此时，域边界附近的高程数据将按以下方案进行平滑：
297	1) 在计算域的四条边界线上对高程进行平滑；
298	2) 平滑向域内部传播，直至达到半径 §R§。平滑区域的宽度等于域半径值的 20%。
300	图 4 边界平滑

# 1.6 边界条件
303	1.6 边界条件（Boundary conditions）
304	1.6.1 入口边界条件——热稳定度等级 0 至 6（Inlet boundary conditions - Thermal stability classes 0 to 6）
305	近地层（表面层）深度
306-309	根据（Tennekes, 1982），大气边界层高度可表示为 §z_h = c·u*/f§，其中 §u*§ 为摩擦速度，§c§ 为取决于稳定度的经验常数（从不稳定时的 0.60 到非常稳定时的 0.16（Garratt, 1994）），§f§ 为科里奥利参数。§f = 2Ωsinφ§，其中 §Ω§ 为地球自转角速度，§φ§ 为纬度。
310	根据观测（Kaimal, 1994），近地层深度 §z_s§ 约为大气边界层深度的 10%。
311	入口风廓线
312-313	对于水平均匀地形，近地层内的风廓线基于莫宁–奥布霍夫相似理论（MOST）和（Dyer, 1974）参数：
314	§κū/u* = ln(z/z₀) − Ψ(z/L)§
315-316	其中 §κ§ 为冯·卡门常数（取值 0.41），§z§ 为离地高度，§z₀§ 为粗糙度长度，§L§ 为莫宁–奥布霍夫长度，这些量均表征热稳定度。
317	莫宁–奥布霍夫函数 §Ψ(z/L)§ 由下式给出：
318	- §|L| > 1500 m§ 时：§Ψ(z/L)§ = 0
319-321	- §−1500 m < L < 0 m§ 时：§Ψ(z/L) = 2ln[(1+x)/2] + ln[(1+x²)/2] − 2tan⁻¹x + π/2§，其中 §x = (1 − 16z/L)^0.25§
322	- §0 m < L < 1500 m§ 时：§Ψ(z/L) = −5(z/L)§
323-324	在近地层以上，风速逐渐趋近地转风 §u_g§：
325	§ū = u_g − (u_g − u_zs)·ln(z_h/z)/ln(z_h/z_s)§
327	其中 §u_g§ 由下式给出：
329	§(u_g·κ/u*)² = (ln(z_h/z₀) − A₂)² + B₂²§
331-332	其中 §u_zs§ 为近地层顶部风速，§A₂§ 和 §B₂§ 受稳定度 §μ§ 影响，§μ§ 表示为 §μ = z_h/L§。
333	§A₂§ 和 §B₂§ 的函数由（Garratt, 1994）给出：
334	- 不稳定–中性（§μ < 0§）：§A₂ = 5 − 4(1 − 0.0084μ)^(−1/3)§，§B₂ = 4.5(1 − 3.3μ)^(−1/3)§
335	- 弱稳定（§0 < μ < 35§）：§A₂ = 1 − 0.38μ§，§B₂ = 4.5 + 0.3μ§
336	- 强稳定（§μ > 35§）：§A₂ = −3.17(μ − 20)^(1/2)§，§B₂ = 3.17(μ − 12.5)^(1/2)§
337-338	图中给出了在给定粗糙度长度和不同稳定度等级（S00–S06）条件下，不同热层结对应的入口风廓线。
342	湍流动能廓线
343	湍流动能 §k§ 由下式给出：
344	§k = ½(u′² + v′² + w′²)§
345	其中 §u′§、§v′§ 和 §w′§ 为速度脉动分量。
346	根据中性条件下的观测，（Panofsky H.A., 1984）提出：
347	§k = 0.9(u*/κ)²§
348	其中 §κ§ 为卡门常数，取 0.41。
349-350	图中给出了在给定粗糙度长度条件下，不同热层结对应的入口湍流动能廓线。
352	在 Meteodyn WT 中的实现
353-355	在 Meteodyn WT 中，通过指定入口垂直廓线，由入口处的质量通量驱动整个模拟。此时，摩擦速度由 §u_g§ 按以下关系确定：
357-362	§(u_g/u*)² = (ln(z_h/z₀) − A₂)² + B₂²§
363-366	我们把地转风 §u_g§ 赋值为参考风速 §v_ref§，即平坦地形上方 10 m 高度处、粗糙度为 5 cm 时的风速值。默认情况下，§v_ref§ 固定为 10 m/s，该值取决于纬度（默认 45°）。表 1 给出了 §v_ref = 10 m/s§ 时，§u_g§ 随 Meteodyn WT 稳定度等级变化的计算值。
